TOK	3539:9	next	3549:8
TOK	4792:7	next	4800:3
TOK	317:5	next	323:2
TOK	2628:6	next	2635:11
TOK	2898:1	next	2900:6
TOK	619:6	next	631:10
TOK	935:2	next	939:7
TOK	2574:3	next	2578:4
POS	1	token	6:7
POS	0	token	2:3
POS	3	token	24:5
POS	2	token	14:9
TOK	773:6	next	780:5
TOK	33:10	next	44:2
TOK	3956:4	next	3961:6
TOK	4717:4	next	4722:6
TOK	3986:3	next	3990:4
SB	99	next	100
SB	99	first	2289:4
SB	99	last	2294:8
SB	98	last	2285:2
SB	98	next	99
SB	98	first	2277:7
TOK	1972:8	next	1981:7
TOK	2907:4	next	2912:5
TOK	2708:4	next	2713:1
TOK	1038:7	next	1046:2
TOK	2104:4	next	2109:9
TOK	527:7	next	537:3
TOK	2652:4	next	2657:4
SB	92	next	93
SB	92	last	2147:3
SB	92	first	2139:7
SB	93	next	94
SB	93	last	2161:9
SB	93	first	2152:5
SB	90	last	2109:9
SB	90	first	2104:4
SB	90	next	91
SB	91	last	2129:7
SB	91	first	2119:5
SB	91	next	92
SB	96	first	2225:4
SB	96	last	2238:11
SB	96	next	97
SB	97	next	98
SB	97	first	2250:4
SB	97	last	2267:7
SB	94	next	95
SB	94	first	2171:3
SB	94	last	2188:6
SB	95	next	96
SB	95	last	2217:7
SB	95	first	2195:8
SB	88	first	2068:4
SB	88	last	2073:9
SB	88	next	89
SB	87	last	2061:6
SB	87	first	2061:6
SB	87	next	88
SB	89	first	2083:11
SB	89	next	90
SB	89	last	2099:4
TOK	1651:4	next	1656:8
SB	80	last	1960:11
SB	80	next	81
SB	80	first	1950:9
SB	81	last	1989:4
SB	81	next	82
SB	81	first	1972:8
SB	82	next	83
SB	82	last	2004:9
SB	82	first	1994:9
SB	83	first	2016:7
SB	83	last	2024:5
SB	83	next	84
SB	84	last	2031:3
SB	84	first	2031:3
SB	84	next	85
SB	85	last	2036:11
SB	85	first	2036:11
SB	85	next	86
SB	86	last	2048:12
SB	86	first	2048:12
SB	86	next	87
TOK	106:4	next	111:5
SB	78	next	79
SB	78	first	1912:2
SB	78	last	1923:4
SB	79	next	80
SB	79	first	1928:4
SB	79	last	1941:8
TOK	686:1	next	689:2
TOK	3217:9	next	3227:12
SB	76	first	1879:9
SB	76	next	77
SB	76	last	1889:6
SB	77	first	1898:7
SB	77	last	1906:4
SB	77	next	78
SB	75	last	1873:5
SB	75	first	1861:8
SB	75	next	76
SB	74	first	1842:9
SB	74	last	1852:8
SB	74	next	75
SB	73	first	1829:2
SB	73	next	74
SB	73	last	1838:3
SB	72	last	1817:11
SB	72	next	73
SB	72	first	1817:11
SB	71	last	1812:3
SB	71	first	1804:7
SB	71	next	72
SB	70	first	1795:6
SB	70	next	71
SB	70	last	1795:6
TOK	2365:3	next	2369:12
TOK	2455:5	next	2461:6
SB	69	first	1774:5
SB	69	next	70
SB	69	last	1790:4
TOK	312:4	next	317:5
TOK	259:5	next	265:2
TOK	1753:3	next	1757:4
TOK	4706:7	next	4717:4
SB	65	first	1720:7
SB	65	next	66
SB	65	last	1720:7
SB	66	next	67
SB	66	first	1730:7
SB	66	last	1738:2
SB	67	last	1757:4
SB	67	next	68
SB	67	first	1742:4
SB	68	next	69
SB	68	last	1770:3
SB	68	first	1762:3
SB	62	last	1684:3
SB	62	next	63
SB	62	first	1676:7
SB	61	last	1665:8
SB	61	first	1665:8
SB	61	next	62
SB	64	last	1714:5
SB	64	first	1709:4
SB	64	next	65
SB	63	first	1689:1
SB	63	next	64
SB	63	last	1704:4
SB	60	last	1656:8
SB	60	first	1651:4
SB	60	next	61
TOK	591:4	next	596:3
TOK	1933:4	next	1938:2
TOK	489:7	next	496:1
SB	56	next	57
SB	56	first	1575:4
SB	56	last	1580:8
SB	57	first	1589:8
SB	57	next	58
SB	57	last	1606:4
SB	54	next	55
SB	54	first	1537:10
SB	54	last	1548:6
SB	55	last	1569:5
SB	55	first	1555:9
SB	55	next	56
TOK	4781:9	next	4792:7
SB	58	last	1621:4
SB	58	next	59
SB	58	first	1613:7
SB	59	last	1645:5
SB	59	next	60
SB	59	first	1627:8
TOK	272:7	next	280:9
TOK	362:10	next	373:2
POS	7	token	47:11
POS	6	token	44:2
TOK	2762:7	next	2770:3
POS	5	token	33:10
TOK	2264:2	next	2267:7
POS	4	token	30:2
SB	53	first	1521:4
SB	53	next	54
SB	53	last	1526:10
SB	52	first	1508:7
SB	52	next	53
SB	52	last	1516:3
SB	51	first	1489:6
SB	51	next	52
SB	51	last	1499:6
POS	9	token	63:1
SB	50	first	1474:14
SB	50	next	51
SB	50	last	1474:14
POS	8	token	59:4
TOK	3837:15	next	3853:2
TOK	1197:3	next	1201:4
SB	43	first	1379:7
SB	43	next	44
SB	43	last	1387:1
SB	44	first	1390:3
SB	44	next	45
SB	44	last	1394:4
SB	45	next	46
SB	45	last	1409:6
SB	45	first	1399:4
SB	46	last	1420:8
SB	46	next	47
SB	46	first	1416:3
TOK	171:6	next	178:2
SB	47	first	1431:7
SB	47	next	48
SB	47	last	1439:2
SB	48	first	1443:4
SB	48	next	49
SB	48	last	1456:5
SB	49	last	1467:6
SB	49	first	1462:4
SB	49	next	50
SB	40	next	41
SB	40	first	1336:7
SB	40	last	1344:2
SB	42	next	43
SB	42	first	1357:4
SB	42	last	1371:5
SB	41	first	1348:3
SB	41	next	42
SB	41	last	1352:4
TOK	997:4	next	1001:1
TOK	1271:10	next	1282:3
POS	473	token	2840:2
POS	474	token	2843:3
POS	475	token	2847:10
POS	476	token	2861:7
POS	470	token	2811:6
POS	471	token	2818:14
POS	472	token	2833:6
TOK	323:2	next	326:6
POS	467	token	2799:1
POS	466	token	2795:3
POS	469	token	2809:2
POS	468	token	2800:9
TOK	647:11	next	659:4
TOK	3619:9	next	3629:11
POS	486	token	2907:4
POS	487	token	2912:5
POS	484	token	2898:1
POS	485	token	2900:6
POS	482	token	2893:4
POS	483	token	2897:1
POS	480	token	2883:4
POS	481	token	2888:4
POS	479	token	2877:5
POS	478	token	2875:1
TOK	3558:3	next	3562:1
POS	477	token	2869:4
TOK	4668:4	next	4673:5
TOK	2068:4	next	2073:9
TOK	481:1	next	484:4
TOK	132:2	next	135:6
POS	450	token	2690:5
POS	451	token	2696:5
POS	452	token	2702:5
POS	453	token	2708:4
POS	454	token	2713:1
POS	445	token	2662:4
POS	444	token	2661:1
POS	447	token	2677:4
TOK	2912:5	next	2918:3
POS	446	token	2669:7
POS	449	token	2687:2
POS	448	token	2683:3
TOK	1742:4	next	1747:5
TOK	4626:4	next	4631:6
TOK	4496:3	next	4500:4
POS	460	token	2762:7
POS	461	token	2770:3
TOK	1011:4	next	1016:4
POS	464	token	2781:4
POS	465	token	2786:8
POS	462	token	2775:2
POS	463	token	2778:2
POS	458	token	2746:7
POS	457	token	2734:11
POS	456	token	2725:8
POS	455	token	2715:9
POS	459	token	2754:5
TOK	3307:3	next	3311:6
TOK	1950:9	next	1960:11
TOK	914:2	next	917:3
TOK	3651:4	next	3656:8
SB	119	last	2662:4
SB	119	next	120
SB	119	first	2647:4
SB	118	first	2628:6
SB	118	last	2635:11
SB	118	next	119
SB	117	next	118
SB	117	first	2623:4
SB	117	last	2623:4
SB	116	last	2616:5
SB	116	next	117
SB	116	first	2608:7
SB	115	next	116
SB	115	last	2598:7
SB	115	first	2583:4
SB	114	next	115
SB	114	first	2557:13
SB	114	last	2578:4
SB	113	next	114
SB	113	last	2550:6
SB	113	first	2535:10
SB	112	last	2526:8
SB	112	next	113
SB	112	first	2526:8
SB	111	last	2520:4
SB	111	next	112
SB	111	first	2512:7
SB	110	first	2504:5
SB	110	last	2504:5
SB	110	next	111
TOK	1598:3	next	1602:3
TOK	555:7	next	563:9
TOK	4346:5	next	4352:5
TOK	471:1	next	472:5
SB	107	first	2455:5
SB	107	next	108
SB	107	last	2475:4
SB	106	last	2445:9
SB	106	first	2435:7
SB	106	next	107
SB	109	first	2493:4
SB	109	last	2498:5
SB	109	next	110
